ItemId|ItemIdCode
18962|1
15343|2
15139|3
20081|4
21224|5
16046|6
20424|7
20254|8
20534|9
20652|10
20476|11
19004|12
19018|13
20656|14
21047|15
21604|16
5478|17
17602|18
22168|19
20016|20
15663|21
16184|22
20554|23
19862|24
16244|25
16924|26
20958|27
21015|28
5607|29
17345|30
18690|31
15325|32
17647|33
15905|34
16120|35
17308|36
17561|37
17921|38
18338|39
19464|40
17498|41
15683|42
11116|43
19869|44
19834|45
13070|46
20300|47
15016|48
19484|49
21583|50
22152|51
15562|52
21712|53
17916|54
19390|55
13106|56
19273|57
16655|58
21463|59
20019|60
18722|61
19935|62
20250|63
17984|64
21272|65
18356|66
15649|67
15825|68
19550|69
18936|70
19636|71
20588|72
18455|73
21840|74
15893|75
18370|76
18796|77
18147|78
18856|79
20949|80
15146|81
19572|82
17871|83
20183|84
21614|85
19656|86
15041|87
16699|88
18816|89
20308|90
21980|91
21894|92
19172|93
19904|94
21598|95
20724|96
7398|97
19772|98
21829|99
21957|100
21825|101
19658|102
18115|103
19639|104
8737|105
20802|106
16818|107
18008|108
16697|109
18090|110
17291|111
16864|112
15009|113
22195|114
15212|115
19293|116
16637|117
19145|118
17832|119
22111|120
14896|121
18136|122
21436|123
15069|124
21473|125
17315|126
20942|127
21441|128
16245|129
22237|130
20173|131
21714|132
15994|133
17723|134
20441|135
17732|136
14922|137
14999|138
19485|139
17449|140
21412|141
22042|142
18287|143
18288|144
15318|145
17385|146
21313|147
17958|148
18826|149
15263|150
21343|151
15147|152
17566|153
20524|154
15117|155
21050|156
17701|157
17288|158
18688|159
18971|160
9403|161
21778|162
16759|163
16890|164
19479|165
16096|166
19583|167
18014|168
21970|169
19233|170
16649|171
18003|172
14888|173
16089|174
20541|175
14959|176
20945|177
19329|178
16892|179
19536|180
21045|181
21745|182
19982|183
15234|184
21250|185
20765|186
17054|187
17351|188
17686|189
17426|190
21892|191
22196|192
15587|193
19424|194
18761|195
15740|196
15100|197
15703|198
15935|199
17104|200
21310|201
15772|202
15531|203
21991|204
21482|205
15106|206
17880|207
21698|208
15026|209
21701|210
17799|211
21202|212
18998|213
16259|214
19744|215
21204|216
21727|217
21927|218
10604|219
19213|220
19036|221
17783|222
17870|223
16442|224
20454|225
6772|226
18566|227
15261|228
17570|229
18130|230
21908|231
19038|232
21955|233
17234|234
16050|235
16197|236
20111|237
16785|238
20767|239
17862|240
18705|241
17396|242
17730|243
16066|244
17760|245
18588|246
19762|247
17768|248
16407|249
20737|250
21702|251
16387|252
15109|253
22025|254
21311|255
19564|256
21023|257
19972|258
15001|259
12479|260
17147|261
15696|262
19923|263
18266|264
18615|265
20377|266
18530|267
21502|268
21922|269
16812|270
20716|271
19724|272
21984|273
17369|274
19737|275
21388|276
19747|277
19749|278
16729|279
22158|280
17427|281
19781|282
8014|283
19148|284
21142|285
18754|286
21847|287
21869|288
16630|289
21690|290
20522|291
15778|292
18723|293
21933|294
21369|295
17230|296
14980|297
21395|298
19395|299
17252|300
21038|301
20813|302
20646|303
16168|304
15708|305
18535|306
15447|307
18175|308
17468|309
20310|310
20307|311
18828|312
19587|313
16078|314
17985|315
18330|316
19575|317
16324|318
16526|319
22093|320
20290|321
14917|322
21362|323
20421|324
21853|325
17076|326
16722|327
9003|328
20176|329
21026|330
21770|331
16941|332
19240|333
17222|334
15841|335
15793|336
15983|337
15268|338
17495|339
16396|340
20690|341
17225|342
19945|343
21167|344
19974|345
7780|346
18902|347
18495|348
18823|349
20470|350
19134|351
21637|352
20633|353
19334|354
15977|355
21597|356
15885|357
17983|358
15059|359
19219|360
16260|361
20315|362
15057|363
21121|364
17060|365
16180|366
18086|367
20636|368
16730|369
14034|370
16720|371
15923|372
19893|373
20347|374
22063|375
15419|376
21549|377
15084|378
16558|379
16566|380
20650|381
17096|382
18312|383
18996|384
19492|385
17317|386
15233|387
16187|388
21967|389
20816|390
18607|391
20295|392
20775|393
21587|394
15816|395
18775|396
21268|397
17824|398
20446|399
19244|400
20798|401
18318|402
17677|403
14990|404
18583|405
20643|406
17774|407
19274|408
10981|409
16154|410
18414|411
20255|412
15237|413
14925|414
6624|415
20120|416
20225|417
18672|418
20200|419
15397|420
19442|421
17010|422
21031|423
20288|424
22166|425
21659|426
19251|427
19986|428
17653|429
15162|430
19065|431
15555|432
21523|433
21813|434
18581|435
20128|436
21621|437
16609|438
16229|439
16771|440
19771|441
20129|442
22267|443
16963|444
16441|445
16584|446
17435|447
15552|448
20214|449
16685|450
15066|451
15762|452
18207|453
17837|454
16002|455
20857|456
21127|457
21521|458
21867|459
18692|460
21397|461
15946|462
21385|463
22227|464
19456|465
16282|466
18085|467
8729|468
18298|469
18186|470
15128|471
16029|472
20251|473
15270|474
20948|475
15628|476
17448|477
20285|478
21941|479
17124|480
17083|481
21800|482
15790|483
16015|484
19100|485
17619|486
18065|487
21558|488
17068|489
19770|490
16984|491
19107|492
21012|493
15608|494
20121|495
15290|496
18100|497
16710|498
22073|499
21846|500
19108|501
21606|502
15444|503
20368|504
19652|505
19003|506
19137|507
21904|508
17692|509
22120|510
20561|511
19841|512
20304|513
21896|514
15617|515
16989|516
9454|517
18648|518
16195|519
20488|520
10635|521
15840|522
21256|523
16214|524
16817|525
16815|526
15067|527
17040|528
17226|529
20909|530
17028|531
16095|532
16109|533
22161|534
17976|535
18167|536
17859|537
19488|538
20358|539
16368|540
16371|541
18609|542
18931|543
17359|544
18336|545
21014|546
18680|547
19709|548
18270|549
22177|550
18467|551
18944|552
16605|553
19993|554
16975|555
16985|556
16157|557
18174|558
20369|559
19183|560
20319|561
22199|562
8327|563
15361|564
16651|565
13935|566
21694|567
20291|568
8503|569
15614|570
5474|571
18500|572
15789|573
20916|574
20194|575
9041|576
16121|577
16186|578
20946|579
18104|580
18353|581
15768|582
20001|583
9194|584
16635|585
19049|586
21076|587
16185|588
17810|589
20046|590
15112|591
16577|592
18536|593
21046|594
17282|595
15732|596
15939|597
15669|598
15540|599
18095|600
9417|601
18351|602
15116|603
20670|604
16112|605
19252|606
22157|607
14913|608
19673|609
15076|610
15170|611
17927|612
20640|613
19850|614
16350|615
20727|616
22229|617
19584|618
18418|619
17542|620
21925|621
20012|622
17540|623
4797|624
19394|625
17277|626
18732|627
22205|628
19599|629
21198|630
18549|631
21870|632
6539|633
17258|634
19566|635
16100|636
17114|637
18726|638
19344|639
17371|640
21129|641
15012|642
20397|643
19120|644
18977|645
16591|646
20951|647
21932|648
18498|649
20985|650
17018|651
4882|652
16313|653
15471|654
15907|655
20940|656
17360|657
15546|658
20356|659
19234|660
9387|661
15331|662
19892|663
20593|664
19542|665
17668|666
17964|667
16382|668
16707|669
15521|670
21660|671
8185|672
18744|673
20494|674
15719|675
16178|676
19022|677
21951|678
16284|679
17713|680
20436|681
16163|682
17752|683
18294|684
6314|685
16162|686
17325|687
18743|688
21742|689
16936|690
21483|691
19499|692
16966|693
17954|694
19929|695
17452|696
15871|697
18391|698
18380|699
19019|700
20713|701
6405|702
19857|703
22098|704
20312|705
18809|706
19842|707
20703|708
17280|709
15121|710
19710|711
18601|712
20083|713
18164|714
19642|715
21863|716
19455|717
17510|718
21477|719
18523|720
20260|721
19114|722
22219|723
17051|724
18758|725
16559|726
15819|727
9392|728
18814|729
16309|730
11095|731
17196|732
15645|733
15092|734
20877|735
16266|736
8869|737
17717|738
20473|739
19399|740
16588|741
15247|742
18310|743
20938|744
16510|745
14144|746
17949|747
21680|748
18108|749
16780|750
16760|751
19678|752
15673|753
11959|754
16859|755
21665|756
17269|757
15207|758
21135|759
16472|760
17445|761
16511|762
19704|763
18352|764
21505|765
20997|766
18622|767
18698|768
22041|769
16947|770
7481|771
22110|772
20146|773
20609|774
17924|775
15310|776
21199|777
15948|778
19139|779
19420|780
19028|781
18299|782
17139|783
19937|784
21287|785
21209|786
9538|787
21246|788
15284|789
18577|790
9390|791
18670|792
16010|793
22265|794
20879|795
20010|796
19837|797
21811|798
19753|799
16725|800
4895|801
18571|802
14427|803
6053|804
17232|805
13030|806
15698|807
21334|808
18349|809
17020|810
21897|811
12087|812
18064|813
18896|814
19165|815
18362|816
7772|817
20736|818
22270|819
21269|820
10115|821
21173|822
17961|823
16819|824
19153|825
16950|826
21591|827
17077|828
21882|829
14903|830
21403|831
20187|832
19304|833
21746|834
16619|835
18451|836
20519|837
16013|838
17249|839
16618|840
18360|841
17048|842
17091|843
19404|844
15535|845
16636|846
21753|847
21574|848
15895|849
17597|850
17625|851
17654|852
15557|853
20570|854
21356|855
21978|856
21423|857
15003|858
16413|859
21943|860
18376|861
15035|862
15847|863
20829|864
21676|865
15389|866
16769|867
15095|868
20574|869
15332|870
20462|871
15667|872
19528|873
18301|874
18895|875
16161|876
19627|877
19577|878
20931|879
20261|880
17174|881
17438|882
20792|883
9679|884
15488|885
21937|886
17881|887
16438|888
20130|889
20807|890
17126|891
20256|892
15532|893
20047|894
10775|895
17731|896
19580|897
21626|898
15974|899
16477|900
17093|901
19162|902
16352|903
19555|904
14257|905
19725|906
21538|907
15028|908
18292|909
14042|910
21818|911
19538|912
15046|913
16679|914
20766|915
19013|916
16463|917
21131|918
18444|919
21797|920
19221|921
19246|922
17423|923
17947|924
19027|925
19037|926
21898|927
19593|928
17572|929
17440|930
17910|931
15927|932
17260|933
17562|934
18943|935
21899|936
22002|937
17353|938
17917|939
15728|940
21193|941
19349|942
17402|943
19847|944
19553|945
20244|946
17224|947
22036|948
15449|949
16047|950
16603|951
19008|952
17455|953
17416|954
20885|955
19227|956
15473|957
15454|958
15022|959
21049|960
15501|961
16138|962
15709|963
21788|964
19427|965
16632|966
17017|967
17470|968
16479|969
15629|970
15568|971
17327|972
18805|973
21365|974
20749|975
19091|976
15316|977
21994|978
17401|979
17592|980
19452|981
21419|982
15748|983
16896|984
17220|985
17828|986
15378|987
18888|988
19467|989
15726|990
15349|991
20195|992
18639|993
16348|994
18807|995
16418|996
15260|997
19601|998
20553|999
18860|1000
19135|1001
19786|1002
18751|1003
16721|1004
20159|1005
20795|1006
21178|1007
18624|1008
20501|1009
15138|1010
20286|1011
19434|1012
18872|1013
21735|1014
13500|1015
18517|1016
20878|1017
16930|1018
17746|1019
19247|1020
16545|1021
21642|1022
15192|1023
17586|1024
18663|1025
19338|1026
19157|1027
18077|1028
19615|1029
16084|1030
20241|1031
18371|1032
18926|1033
17227|1034
19622|1035
21093|1036
21569|1037
15553|1038
21555|1039
18741|1040
18903|1041
17166|1042
17171|1043
17720|1044
17064|1045
10254|1046
15005|1047
15380|1048
18863|1049
15787|1050
17605|1051
21078|1052
19296|1053
15519|1054
21317|1055
21801|1056
21399|1057
18374|1058
18799|1059
19751|1060
17304|1061
17393|1062
13622|1063
18700|1064
13754|1065
16863|1066
19919|1067
16316|1068
20180|1069
19963|1070
15130|1071
19300|1072
20065|1073
18984|1074
17554|1075
16364|1076
18976|1077
18779|1078
20533|1079
11807|1080
17739|1081
20158|1082
17112|1083
20624|1084
18083|1085
12236|1086
19866|1087
20837|1088
20069|1089
17496|1090
20327|1091
14950|1092
19044|1093
20680|1094
